"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE 
","LTP 
","CHNG 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","VOLUME 
(Contracts)","VALUE 
 (₹ Crores)","OPEN INTEREST 
","UNDERLYING VALUE 
"
"Index Options","BANKNIFTY","06-Nov-2024","Call","51,700.00","393.65","-61.80","-13.57","455.55","510.00","389.00","3,99,242","271.95","40,280","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","51,700.00","524.80","-10.05","-1.88","534.85","534.85","451.50","3,35,743","252.39","23,679","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","52,000.00","266.00","-58.55","-18.04","334.95","367.95","266.00","3,30,561","157.69","1,35,262","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","51,800.00","354.00","-55.25","-13.50","370.00","460.00","344.70","3,13,947","191.29","60,320","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","53,000.00","47.10","-27.25","-36.65","75.00","87.45","47.10","2,89,536","28.77","1,36,412","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","52,500.00","121.05","-41.90","-25.71","171.00","188.70","120.00","2,61,812","60.25","1,22,029","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","51,500.00","425.15","-19.05","-4.29","466.40","466.40","366.10","2,54,535","155.97","63,659","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","54,000.00","6.35","-7.10","-52.79","13.50","15.50","5.50","2,31,893","3.72","88,775","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","51,800.00","578.10","-8.80","-1.50","560.00","585.00","501.90","2,20,576","181.89","28,406","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","51,600.00","470.65","-16.55","-3.40","480.05","483.00","406.70","2,10,678","143.71","23,002","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","51,600.00","442.95","-69.25","-13.52","541.55","566.05","442.20","2,09,455","158.71","27,280","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","53,500.00","19.00","-12.55","-39.78","26.15","38.05","18.00","2,08,990","8.22","65,499","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","51,000.00","244.80","-17.60","-6.71","222.00","261.90","197.00","1,94,158","68.54","59,539","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","51,500.00","500.80","-59.95","-10.69","588.75","623.00","499.10","1,80,891","152.88","46,583","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","50,000.00","70.75","-11.55","-14.03","64.05","79.95","47.90","1,76,164","18.24","52,877","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","48,000.00","5.30","-2.95","-35.76","8.90","9.15","3.85","1,62,175","1.72","60,340","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","47,500.00","3.00","-1.55","-34.07","8.00","8.80","2.55","1,58,161","0.91","84,733","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","51,900.00","306.10","-58.40","-16.02","385.00","413.00","306.00","1,53,525","82.93","42,777","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","54,500.00","3.55","-3.45","-49.29","7.00","7.45","3.40","1,51,064","1.26","80,741","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","55,000.00","2.85","-2.35","-45.19","4.90","5.75","2.75","1,46,916","0.88","1,22,132","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","50,500.00","131.55","-17.90","-11.98","149.55","149.55","100.55","1,43,760","27.66","36,512","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","51,300.00","340.05","-28.70","-7.78","307.85","355.00","289.45","1,42,290","70.74","20,773","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","49,000.00","19.15","-5.70","-22.94","20.60","23.05","13.55","1,34,001","4.09","57,381","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","48,500.00","9.15","-4.30","-31.97","13.55","19.90","5.05","1,33,524","2.26","69,764","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","49,500.00","36.25","-8.50","-18.99","43.00","43.00","25.75","1,30,831","7.18","69,790","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","52,800.00","73.15","-30.65","-29.53","108.75","122.20","71.00","1,25,963","17.82","38,019","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","52,200.00","208.80","-42.50","-16.91","266.95","287.50","200.00","1,23,693","45.03","43,586","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","52,900.00","58.15","-30.10","-34.11","90.20","108.60","57.55","1,22,430","14.68","24,523","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","60,500.00","2.20","-1.30","-37.14","3.20","4.00","2.00","1,15,539","0.44","2,06,926","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","52,100.00","236.60","-50.75","-17.66","309.95","326.40","230.10","1,14,940","48.47","38,245","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","52,700.00","85.10","-35.65","-29.52","165.00","184.00","85.00","1,10,199","18.09","34,872","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","52,400.00","148.90","-41.30","-21.71","201.15","219.65","142.35","1,09,332","29.50","32,887","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","52,300.00","176.20","-43.55","-19.82","275.40","315.25","165.70","1,02,745","32.07","37,506","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","51,400.00","379.00","-28.55","-7.01","407.55","407.55","327.20","98,240","54.29","25,842","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","53,200.00","34.50","-18.65","-35.09","52.65","64.30","32.45","95,605","6.56","24,833","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","47,000.00","2.70","-0.80","-22.86","3.15","4.00","2.50","94,956","0.43","75,168","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","53,800.00","10.00","-8.95","-47.23","18.95","28.95","9.00","93,700","2.08","23,479","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","53,400.00","21.00","-16.50","-44.00","37.00","45.10","21.00","92,982","4.34","22,369","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","53,700.00","11.50","-10.90","-48.66","20.30","27.00","10.05","92,641","2.53","15,493","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","53,300.00","27.00","-17.80","-39.73","40.00","54.45","27.00","92,502","5.25","26,505","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","51,200.00","306.95","-23.80","-7.20","319.60","319.60","255.60","91,386","40.50","20,287","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","52,600.00","104.65","-36.35","-25.78","136.85","164.35","101.50","90,284","17.79","31,641","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","53,100.00","39.10","-24.05","-38.08","63.80","75.60","39.10","87,484","7.30","21,440","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","50,200.00","92.00","-11.90","-11.45","98.00","99.30","70.00","86,066","11.38","31,195","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","52,000.00","685.05","-14.95","-2.14","705.00","705.00","609.10","85,168","84.36","45,088","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","53,900.00","6.95","-9.30","-57.23","26.00","26.00","6.90","82,300","1.52","14,954","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","53,600.00","15.50","-11.15","-41.84","26.00","33.00","14.90","78,930","2.59","18,421","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","60,000.00","2.05","-1.65","-44.59","2.50","4.00","2.05","76,902","0.29","1,19,116","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","50,700.00","168.00","-19.05","-10.18","166.95","181.40","126.15","73,795","18.16","15,623","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","50,300.00","101.10","-16.10","-13.74","123.05","123.05","75.25","65,647","9.98","15,018","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","56,000.00","2.60","-1.80","-40.91","3.25","5.40","2.55","63,791","0.30","69,229","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","54,200.00","5.40","-5.10","-48.57","9.80","11.50","3.40","63,275","0.78","17,945","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","50,800.00","188.60","-22.60","-10.70","174.90","203.60","150.20","62,243","17.39","18,431","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","50,600.00","152.15","-18.15","-10.66","140.35","161.55","116.90","61,277","13.44","18,255","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Put","51,900.00","632.00","-11.00","-1.71","610.15","642.00","555.10","60,817","55.05","17,522","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","54,100.00","5.45","-6.50","-54.39","10.60","14.55","5.00","58,405","0.80","10,768","51,673.90"
"Index Options","BANKNIFTY","06-Nov-2024","Call","54,300.00","4.05","-5.15","-55.98","7.70","10.00","3.00","56,738","0.60","21,809","51,673.90"
